A,B,C,D,E,F,G,H,I,J
69,83,33,23,95,66,94,15,86,87
66,94,68,75,71,24,77,52,75,77
50,75,86,44,41,66,65,41,14,93
65,85,45,23,69,99,45,90,94,12
77,98,71,19,43,58,68,28,49,83
56,23,24,22,58,31,15,33,75,86
33,47,65,80,46,92,100,11,47,86
28,13,25,47,64,58,42,61,73,85
28,82,90,60,86,18,88,49,60,44
44,52,11,53,66,60,79,10,87,92
49,16,56,41,33,88,93,36,15,25
69,76,55,71,41,74,43,38,26,30
43,13,70,41,62,47,57,35,67,59
72,73,33,49,56,92,77,94,96,59
66,31,29,99,66,51,34,27,85,22
56,14,30,28,35,89,17,70,84,46
70,36,29,63,23,22,67,76,45,93
53,72,62,65,90,63,30,63,10,23
76,36,51,28,92,72,24,99,55,95
53,99,18,83,39,21,62,89,43,98
21,96,23,26,88,49,22,93,86,19
73,60,75,12,37,77,86,17,85,13
26,83,85,40,78,30,60,54,95,83
46,77,20,64,26,75,35,100,72,93
69,54,57,75,27,83,39,29,51,37
51,71,39,78,85,92,74,37,60,41
10,36,90,11,23,86,79,30,25,28
23,53,60,23,36,28,76,37,36,34
44,74,78,96,90,34,54,55,31,98
16,52,94,23,39,55,78,46,96,99
17,98,39,79,14,67,50,11,46,90
63,68,43,98,65,89,57,10,65,83
15,53,80,77,24,44,87,34,21,29
69,80,48,60,72,80,98,70,70,37
64,48,37,50,76,87,54,71,39,32
87,31,63,55,42,80,100,46,45,79
27,21,31,59,31,88,27,10,72,68
80,59,59,71,92,90,24,15,96,52
89,55,81,23,28,85,46,25,83,36
22,83,72,78,91,64,10,46,87,41
19,99,25,22,95,73,37,29,74,24
79,99,96,90,89,90,39,81,65,45
89,19,69,23,93,53,96,98,40,40
95,58,86,59,100,27,14,90,20,14
45,40,94,55,86,22,89,65,33,70
98,37,39,62,35,77,93,20,95,39
57,88,89,84,73,87,57,43,70,50
42,77,48,65,65,88,98,43,25,25
82,81,14,60,85,86,37,52,60,14
39,54,98,90,13,13,12,66,92,41
83,33,89,18,63,31,44,32,22,10
47,95,39,96,50,61,84,31,76,18
12,60,78,11,37,45,72,52,39,86
62,33,68,17,49,43,19,96,36,22
33,45,94,38,15,59,68,19,93,21
87,94,64,55,40,85,22,45,22,24
30,19,88,10,17,39,11,47,70,17
71,47,89,73,91,98,19,58,46,84
48,43,53,89,78,46,68,30,27,57
43,92,60,52,12,44,15,38,63,23
80,85,36,59,40,13,22,96,91,84
20,55,19,19,50,73,43,54,80,48
88,21,79,22,52,61,13,99,42,84
18,27,54,21,59,70,34,42,75,32
22,54,91,40,78,35,41,34,79,28
28,48,11,63,68,33,25,15,65,62
61,17,54,70,84,52,77,65,36,64
26,66,35,41,93,21,40,67,15,85
65,37,88,47,66,80,18,73,44,58
35,47,37,52,68,39,58,43,20,98
97,51,58,21,57,25,85,81,51,17
70,65,29,93,99,90,97,77,66,39
40,89,50,87,96,98,33,24,40,69
69,62,18,62,87,72,57,37,15,13
92,12,14,17,41,33,87,78,42,57
29,100,20,57,39,17,19,17,90,57
69,95,84,99,43,27,61,29,79,19
25,79,32,82,45,99,53,76,51,33
69,94,61,41,44,58,37,12,19,25
86,90,49,14,33,74,13,71,83,52
25,12,78,95,31,100,48,28,79,24
95,82,61,75,15,90,61,100,39,18
55,100,33,40,65,47,38,88,35,78
100,72,25,24,65,73,61,53,67,92
67,94,47,23,51,72,82,75,23,17
48,35,93,14,61,30,93,26,73,94
35,11,42,41,18,47,52,95,41,80
89,83,18,97,100,75,78,70,80,66
31,27,30,65,61,71,77,32,24,94
78,85,67,12,42,36,38,10,84,49
58,31,83,60,40,77,27,28,81,41
61,67,82,54,33,39,78,15,40,30
68,85,13,70,22,37,50,75,80,41
48,41,76,17,99,90,32,59,40,93
91,10,49,77,99,35,72,87,63,15
94,19,22,23,36,74,93,87,94,78
22,19,85,78,56,22,16,97,42,58
24,91,95,11,70,50,80,58,60,78
34,42,67,76,56,94,24,24,56,48
98,71,25,21,71,34,47,36,26,36
