Id	Normal-like	Normal-like	Basal	Basal	Basal	Luminal	Luminal	Luminal	Luminal	Claudin-low	Luminal	Luminal	Luminal	Luminal	Basal	Claudin-low	Luminal	Luminal	Basal	Basal	Basal	Basal	Luminal	Basal	Claudin-low	Basal	Claudin-low	Basal	Luminal	Normal-like	Normal-like	Normal-like	Luminal	Luminal	Luminal	Claudin-low	Luminal	Luminal	Basal	Luminal	Claudin-low	Basal	Luminal	Basal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal
Gene1	0	0.454356415	0	0.137504157	0	0	0	0	0	6.913509685	0	0	0	0	0.124247556	4.730357221	0.09769354	0.176420011	0	0.310349431	0.464538261	0	4.540298484	0	0.124247556	0.895199025	5.070076409	0	0	5.221243305	0.070318199	1.677904279	0	0	0.214116495	0	0.124247556	0	0	0	0	4.43938841	0	0.310349431	0.286974965	1.091037644	0.214116495	0	0	0.238817581	1.091037644	0.238817581
Gene2	2.039322806	2.274744195	0.774070499	2.370448295	1.400759777	0	0.056656847	0	0	0	0	0	0	0	0	0.070318199	0	0	0.09769354	0.485280842	1.049624638	4.014313063	3.739732303	0.150616279	0	6.488131416	0	0.124247556	0	1.959647695	4.049333717	2.876088018	0	0	0	0	0	0	3.8615667	0	0	2.862004308	0	1.815374261	0	0	0	0	0	0	0	0
Gene3	8.505477779	9.134248217	0.713914301	0.344851962	0.286974965	0.263166691	0.226562273	1.520780522	0.274942543	0.070318199	0	0.926202322	3.30202642	0.622746306	3.152451622	0.464538261	0.321939345	0.263166691	0.263166691	7.399496181	5.142196282	1.560636642	3.734126063	4.928072861	0	0.014351108	1.459506213	0.731294584	0.525942177	7.752864355	7.81262593	8.402734818	0.014351108	0.189018886	1.195469914	1.545897745	4.194641339	0.565594295	1.872089186	0.226562273	0.176420011	2.833893405	1.844019995	3.794003882	2.41963284	0	0.163530747	0.09769354	0.286974965	0.565594295	0.111089056	0.201752599
Gene4	5.199763202	3.975563207	3.253807839	3.702386489	3.727587388	5.161704072	0.356145768	6.481199811	4.182265222	5.332669927	2.485161616	2.074068374	3.240190313	3.355888658	4.795197573	5.30626157	4.868862579	1.952677188	2.518135823	5.07397236	6.055111107	4.91933232	5.574732423	5.82248125	4.916419157	6.854946735	4.564366164	4.241337333	1.163559091	4.86110279	3.667903484	2.846182598	4.689761339	5.470750329	3.734126063	2.827754287	4.00201999	4.40677522	3.460490172	0.622746306	2.477571832	2.700566847	2.546143746	2.462414599	1.25680918	0.941376866	0	1.959647695	4.287151566	3.870966706	3.948191638	4.185120774
Gene5	5.980137672	4.938757872	5.641512468	5.797871117	5.88452779	5.294528018	5.305283691	6.112362804	5.720147717	6.489121672	5.253477834	4.581704462	4.290972534	4.469151013	5.63463546	5.960416804	5.873691326	5.220266769	6.274400835	6.895641147	6.329779816	5.844143626	5.011671319	6.402994917	6.06695384	6.131124057	5.322887792	6.405963929	5.419794675	5.958444928	5.849067598	4.702322502	6.668463775	5.087610394	5.974221012	6.230905777	6.100515198	5.542345119	4.986382746	5.63168835	5.066180739	4.869832643	5.194882444	4.651135814	5.52664717	6.243755002	6.205211385	5.455067746	5.274976942	5.891424359	5.694583127	5.315063151
Gene6	5.659198882	5.836265813	5.35615304	5.531552426	5.443308084	6.418830384	3.522276899	6.851969436	6.699199933	0.250849421	6.272423458	5.113921909	5.344410432	6.153839173	5.273999548	0.214116495	7.537809267	6.167667948	8.030834905	5.391393317	6.439617157	7.146934803	5.63463546	6.132111578	0.333445016	6.40200526	0.028551411	6.149888396	5.46682936	4.622191081	3.801500542	5.202691851	6.421799734	5.833311805	6.888692712	0.454356415	6.375287231	6.407943306	5.868766067	3.206656679	0.505764999	4.069231504	6.501995607	5.138295525	4.963050606	5.850052424	5.348324402	5.150973964	5.233939713	5.664112454	5.8579314	5.885512984
Gene7	7.047573961	6.540624092	6.480209609	6.560437396	6.519822902	6.587189389	6.213116772	6.258582692	5.533514618	7.684151034	6.806323438	7.24733243	7.007842206	6.294176301	6.849984595	6.622865788	5.548232694	6.288243339	6.465357383	6.308020949	6.535671168	6.70614113	5.347345887	7.426357549	7.081351691	6.496053651	6.825175861	7.82059488	6.477239042	7.64332796	7.292077255	7.788720117	6.141987249	6.17557084	6.451496685	7.519894553	5.939714027	5.78114005	7.290088429	6.780528536	7.313955354	5.701465142	6.074849711	7.656271318	6.531708945	5.62775904	6.424769148	6.74085132	6.895641147	6.468327707	5.937742557	6.319888971
Gene8	4.524903381	4.338774201	5.426651932	5.544307593	5.675906226	5.865811035	4.95916297	6.043269671	6.307031996	5.418815122	4.979576424	5.692616941	5.40804096	5.713264185	5.511933344	5.940699777	5.826419486	6.686309892	4.151823918	6.635750885	5.793934115	6.353520877	5.886498188	5.198787018	6.417840614	5.80180829	5.117820975	6.676395148	6.134086644	4.820385308	4.953332084	4.926130383	6.049190226	6.523784812	7.350754462	5.760476596	6.87678169	5.762444336	4.133765069	4.889238139	4.16513794	4.852374576	5.458988068	5.398247737	6.528737347	5.911131553	5.964360672	5.348324402	6.339671407	5.853006962	5.995917098	5.795902594
Gene9	3.148845742	3.973674523	4.182265222	4.923216811	4.817478309	5.000970786	4.694592103	3.580574741	4.581704462	4.891179127	5.257386207	5.471730604	3.977452037	4.271872456	4.290972534	5.496241829	4.832984463	3.463251939	5.086636136	5.035998918	4.29192785	4.290972534	5.463888774	4.749702358	5.575714071	5.033079009	4.99318998	3.743470645	4.217503528	3.754689728	4.703288903	3.562972891	4.300527022	4.215597658	4.023773358	5.563935129	3.711716488	4.425955655	5.057416514	4.088195822	6.393098671	4.684931142	6.096566275	4.269963105	5.503106454	4.660788738	4.605798528	4.460507631	4.72745621	4.645345177	4.84752628	3.625117701
Gene10	0.971022478	0.765308606	0.546165314	0.695850188	0.411447302	6.277366959	6.507937801	6.843037818	6.433677766	0.68714462	7.975025935	5.608115387	5.850052424	6.823191305	0.632285893	0.298689796	6.725974671	6.164704501	0.443586448	0.274942543	1.12429832	1.263155619	5.939714027	0.525942177	0.525942177	3.505655613	0.555831709	0.321939345	5.434489627	0.274942543	0.815701466	0.443586448	8.101603092	7.038633674	4.990272482	0.903161489	6.856931628	7.05850148	2.733509836	5.94957196	0.705081089	0.495842851	7.650297398	0.411447302	5.550195321	5.385518652	4.512399634	6.359456805	5.059363995	6.009726065	5.943657084	5.46094831
