Chromosomes,Gene,Start,End,Size,Type
chr01,Bn1,2959419,79697775,76738356,TNL
chr01,Bn2,22169548,51997967,29828419,NBS
chr01,Bn3,85726275,92143898,6417623,CNL
chr01,Bn4,83436134,92313241,8877107,TNL
chr01,Bn5,53472004,88236381,34764377,NBS
chr01,Bn6,55259840,72540703,17280863,CN
chr01,Bn7,69161505,87964137,18802632,NBS
chr01,Bn8,86749186,92056352,5307166,RLK
chr01,Bn9,75176352,89964977,14788625,CNL
chr01,Bn10,70305134,94866518,24561384,CN
chr01,Bn11,40095137,57321083,17225946,CNL
chr01,Bn12,46378414,81503688,35125274,TNL
chr01,Bn13,37889502,88231099,50341597,RLK
chr01,Bn14,31014304,86824237,55809933,TN
chr01,Bn15,39346596,61877917,22531321,CN
chr01,Bn16,83459729,96350678,12890949,TNL
chr01,Bn17,87838478,95647742,7809264,TN
chr01,Bn18,17796049,75639052,57843003,NBS
chr01,Bn19,53939905,54102900,162995,RLK
chr01,Bn20,59283866,80580459,21296593,TNL
chr01,Bn21,43882104,55217723,11335619,RLK
chr01,Bn22,65486946,65979485,492539,TNL
chr01,Bn23,3971816,78931141,74959325,RLP
chr01,Bn24,39778400,52089620,12311220,TNL
chr01,Bn25,13313432,65856936,52543504,TNL
chr01,Bn26,48951375,94127297,45175922,RLP
chr01,Bn27,5456005,5645144,189139,TN
chr01,Bn28,95283218,99874269,4591051,CNL
chr01,Bn29,48623091,65644523,17021432,TNL
chr01,Bn30,96954532,97494779,540247,NBS
chr01,Bn31,49913711,65932775,16019064,RLK
chr01,Bn32,87240089,87647156,407067,TNL
chr01,Bn33,71216346,94633925,23417579,RLK
chr01,Bn34,57166392,82174865,25008473,NBS
chr01,Bn35,53240358,58421225,5180867,TN
chr01,Bn36,18590604,54351615,35761011,RLK
chr01,Bn37,29012996,85519767,56506771,RLK
chr01,Bn38,89738642,98250341,8511699,CNL
chr01,Bn39,97002105,99869903,2867798,NBS
chr01,Bn40,90512569,98404045,7891476,CNL
chr01,Bn41,43120571,54329516,11208945,TN
chr01,Bn42,66226034,80661477,14435443,NBS
chr01,Bn43,89532139,98709460,9177321,NBS
chr01,Bn44,22986201,27821845,4835644,NBS
chr01,Bn45,88837552,92532048,3694496,TN
chr01,Bn46,61613526,65324284,3710758,CNL
chr01,Bn47,92602226,98293063,5690837,CN
chr01,Bn48,81973545,98503449,16529904,RLK
chr01,Bn49,19220684,90608315,71387631,CN
chr01,Bn50,97062242,97163729,101487,TNL
chr01,Bn51,70180934,88983735,18802801,CNL
chr01,Bn52,57215188,75863066,18647878,TNL
chr01,Bn53,83881917,96826619,12944702,NBS
chr01,Bn54,40777717,46824949,6047232,RLP
chr01,Bn55,24404537,71066598,46662061,CNL
chr01,Bn56,13885715,85550770,71665055,CN
chr01,Bn57,39639946,79396770,39756824,RLK
chr01,Bn58,13156931,18419087,5262156,TNL
chr01,Bn59,29067417,81640182,52572765,NBS
chr01,Bn60,40803848,69781015,28977167,CN
chr01,Bn61,44048786,70363443,26314657,RLK
chr01,Bn62,83551577,91962665,8411088,CNL
chr01,Bn63,58686005,72210010,13524005,RLK
chr01,Bn64,26793342,67872081,41078739,RLP
chr01,Bn65,92450441,95369730,2919289,CN
chr01,Bn66,59794237,85512523,25718286,CN
chr01,Bn67,21982137,41781982,19799845,NBS
chr01,Bn68,19442367,74788304,55345937,NBS
chr01,Bn69,93505507,94678141,1172634,RLP
chr01,Bn70,67069128,96880011,29810883,CN
chr01,Bn71,18825835,71914291,53088456,CNL
chr01,Bn72,80560340,96633975,16073635,RLK
chr01,Bn73,24138918,51814651,27675733,TNL
chr01,Bn74,9567194,47273124,37705930,TN
chr01,Bn75,91894929,92711159,816230,RLK
chr01,Bn76,26112743,29951168,3838425,CNL
chr01,Bn77,87041439,90819766,3778327,TNL
chr01,Bn78,7868409,31089958,23221549,NBS
chr01,Bn79,81347111,96300087,14952976,RLP
chr01,Bn80,57814587,65393864,7579277,NBS
chr01,Bn81,64740916,86282612,21541696,NBS
chr01,Bn82,32644338,61466855,28822517,CN
chr01,Bn83,94913984,99963349,5049365,CNL
chr01,Bn84,65635731,68712383,3076652,TNL
chr01,Bn85,81865058,93624703,11759645,TN
chr01,Bn86,10890489,27120633,16230144,TN
chr01,Bn87,68808138,84835680,16027542,CNL
chr01,Bn88,10978819,54752730,43773911,RLP
chr01,Bn89,32785177,48738191,15953014,CNL
chr01,Bn90,18292161,50034936,31742775,RLP
chr01,Bn91,7663192,36611427,28948235,CN
chr01,Bn92,38151216,98483725,60332509,RLP
chr01,Bn93,39667132,40391753,724621,RLK
chr01,Bn94,54828964,63675999,8847035,NBS
chr01,Bn95,90858655,97709614,6850959,TN
chr01,Bn96,17951398,28797403,10846005,CN
chr01,Bn97,4141441,78980280,74838839,CN
chr01,Bn98,14900426,32282208,17381782,NBS
chr01,Bn99,46386426,47599333,1212907,RLP
chr01,Bn100,45953850,66445773,20491923,TNL
chr01,Bn101,40719858,84163273,43443415,RLK
chr01,Bn102,34813721,95726530,60912809,RLK
chr01,Bn103,3078180,98334396,95256216,TNL
chr01,Bn104,34782617,35137246,354629,CNL
chr01,Bn105,88404540,91069410,2664870,NBS
chr01,Bn106,72473868,73073486,599618,RLP
chr01,Bn107,64811063,94845844,30034781,TNL
chr01,Bn108,41584389,82997687,41413298,CNL
chr01,Bn109,18481019,43422016,24940997,TN
chr01,Bn110,17855840,49862099,32006259,NBS
chr01,Bn111,48791649,69559561,20767912,NBS
chr01,Bn112,27849567,92933970,65084403,NBS
chr01,Bn113,46261560,48068224,1806664,CN
chr01,Bn114,21800243,79176606,57376363,TNL
chr01,Bn115,51206815,57842030,6635215,TNL
chr01,Bn116,72629532,84709796,12080264,TN
chr01,Bn117,15566287,49444432,33878145,CN
chr01,Bn118,31485572,90803122,59317550,TNL
chr01,Bn119,37041105,58966154,21925049,RLP
chr01,Bn120,47148887,92610747,45461860,TNL
chr01,Bn121,51175121,63833735,12658614,TNL
chr01,Bn122,72738999,97686076,24947077,TNL
chr01,Bn123,84184987,84507925,322938,CN
chr01,Bn124,24532279,30208072,5675793,RLK
chr01,Bn125,28355130,47518027,19162897,RLK
chr01,Bn126,11065361,43020384,31955023,NBS
chr01,Bn127,1397983,29897706,28499723,NBS
chr01,Bn128,20622827,80059478,59436651,TNL
chr01,Bn129,42099477,86010905,43911428,TN
chr01,Bn130,65126779,86671078,21544299,TN
chr01,Bn131,11377177,82742041,71364864,CN
chr01,Bn132,24624759,44943543,20318784,CN
chr01,Bn133,29741354,33419785,3678431,CN
chr01,Bn134,16789116,70635342,53846226,CN
chr01,Bn135,45913492,91866620,45953128,TNL
chr01,Bn136,27723862,90496189,62772327,RLK
chr01,Bn137,60618401,75696319,15077918,RLK
chr01,Bn138,36597173,88339319,51742146,NBS
chr01,Bn139,44625169,51924383,7299214,CNL
chr01,Bn140,75015507,89059614,14044107,RLK
chr01,Bn141,61349516,66708212,5358696,RLP
chr01,Bn142,85927071,96674875,10747804,RLP
chr01,Bn143,32060445,59890693,27830248,TNL
chr01,Bn144,65093613,67021768,1928155,CNL
chr01,Bn145,81376666,91945529,10568863,CN
chr01,Bn146,20163642,62289610,42125968,CN
chr01,Bn147,39034385,40703177,1668792,TNL
chr01,Bn148,53136555,97858658,44722103,RLK
chr01,Bn149,20251816,99245444,78993628,NBS
chr01,Bn150,93913145,97569283,3656138,NBS
chr01,Bn151,55326433,99722285,44395852,CN
chr01,Bn152,54448130,65912549,11464419,NBS
chr01,Bn153,38346443,99483124,61136681,CNL
chr01,Bn154,98318584,98815774,497190,CNL
chr01,Bn155,31898011,64908016,33010005,NBS
chr01,Bn156,26971781,77411400,50439619,CN
chr01,Bn157,81563565,88707135,7143570,TNL
chr01,Bn158,51066623,79302744,28236121,RLK
chr01,Bn159,16150856,46505585,30354729,NBS
chr01,Bn160,89184253,96189198,7004945,NBS
chr01,Bn161,86872178,99790872,12918694,CN
chr01,Bn162,66535242,88083049,21547807,NBS
chr01,Bn163,81360170,99282051,17921881,TNL
chr01,Bn164,82183688,90998010,8814322,RLK
chr01,Bn165,26960432,32905860,5945428,CN
chr01,Bn166,42556662,67802668,25246006,TN
chr01,Bn167,44916223,98252885,53336662,CN
chr01,Bn168,3358593,46576600,43218007,CNL
chr01,Bn169,51934362,52582104,647742,CNL
chr01,Bn170,63250708,96315765,33065057,RLK
chr01,Bn171,71907507,98534668,26627161,TN
chr01,Bn172,10963059,68070928,57107869,TN
chr01,Bn173,61220845,95410974,34190129,CNL
chr01,Bn174,44566673,74946334,30379661,CNL
chr01,Bn175,19815431,62598925,42783494,NBS
chr01,Bn176,73501498,91669040,18167542,CN
chr01,Bn177,80220415,94202980,13982565,CN
chr01,Bn178,29629961,72798460,43168499,NBS
chr01,Bn179,65434706,91296775,25862069,TNL
chr01,Bn180,36518132,78223602,41705470,RLK
chr01,Bn181,83134084,95127987,11993903,TNL
chr01,Bn182,49995772,50969633,973861,TNL
chr01,Bn183,22876023,37245392,14369369,CNL
chr01,Bn184,73219240,96198170,22978930,TNL
chr01,Bn185,72933954,73204660,270706,TNL
chr01,Bn186,50287271,78624439,28337168,TNL
chr01,Bn187,82376018,98344847,15968829,TNL
chr01,Bn188,66792249,78345084,11552835,TN
chr01,Bn189,80336229,98190272,17854043,TNL
chr01,Bn190,32886366,78454372,45568006,CN
chr01,Bn191,69343523,80503764,11160241,RLK
chr01,Bn192,6773918,79240751,72466833,CN
chr01,Bn193,89690524,98979925,9289401,CNL
chr01,Bn194,12416556,94896572,82480016,RLK
chr01,Bn195,81559732,89211537,7651805,CN
chr01,Bn196,29359819,86046174,56686355,CN
chr01,Bn197,47548102,91163879,43615777,RLP
chr01,Bn198,30103567,49536415,19432848,RLP
chr01,Bn199,80052688,96496002,16443314,TNL
chr01,Bn200,29438715,98440623,69001908,TNL
chr01,Bn201,32918669,90531879,57613210,RLK
chr01,Bn202,61575030,66802334,5227304,RLK
chr01,Bn203,45054719,52917652,7862933,TNL
chr01,Bn204,16585645,60327796,43742151,RLK
chr01,Bn205,21852915,71455837,49602922,CNL
chr01,Bn206,9437369,25035255,15597886,TN
chr01,Bn207,54740622,55989165,1248543,RLK
chr01,Bn208,51779169,73901912,22122743,TN
chr01,Bn209,47660352,56065746,8405394,TN
chr01,Bn210,9165408,21984417,12819009,TNL
chr01,Bn211,97924601,99484247,1559646,RLP
chr01,Bn212,17499874,75671180,58171306,CNL
chr01,Bn213,69067111,79329049,10261938,TN
chr01,Bn214,35952638,47541148,11588510,CNL
chr01,Bn215,31507495,93107538,61600043,NBS
chr01,Bn216,83695065,98322366,14627301,TNL
chr01,Bn217,20848629,74793230,53944601,RLP
chr01,Bn218,45268761,99982833,54714072,CNL
chr01,Bn219,85298007,92002801,6704794,NBS
chr01,Bn220,74815891,76319844,1503953,CNL
chr01,Bn221,52835491,54129297,1293806,NBS
chr01,Bn222,65429404,71368602,5939198,NBS
chr01,Bn223,96518609,96670382,151773,CN
chr01,Bn224,33967445,77051462,43084017,TN
chr01,Bn225,66353877,70263578,3909701,TNL
chr01,Bn226,4472059,58833630,54361571,NBS
chr01,Bn227,33246230,51937002,18690772,RLK
chr01,Bn228,13994393,84825064,70830671,CN
chr01,Bn229,65394436,69870611,4476175,CN
chr01,Bn230,4201477,79069085,74867608,RLP
chr01,Bn231,95457009,97042303,1585294,RLP
chr01,Bn232,22568940,71169566,48600626,RLP
chr01,Bn233,70317045,85938715,15621670,CN
chr01,Bn234,47162187,54691370,7529183,CNL
chr01,Bn235,98233422,98884201,650779,RLP
chr01,Bn236,36691780,72221770,35529990,TN
chr01,Bn237,83235217,93938594,10703377,CN
chr01,Bn238,42473764,94417443,51943679,TNL
chr01,Bn239,93122075,99803464,6681389,RLP
chr01,Bn240,73756086,79670538,5914452,TN
chr01,Bn241,34075377,74905060,40829683,NBS
chr01,Bn242,84700151,87990234,3290083,CN
chr01,Bn243,78656772,87021981,8365209,RLP
chr01,Bn244,71353928,86723853,15369925,RLK
chr01,Bn245,28827959,39755721,10927762,CN
chr01,Bn246,87152282,95363432,8211150,CNL
chr01,Bn247,14252589,63529749,49277160,TNL
chr01,Bn248,88803031,90150351,1347320,CN
chr01,Bn249,68333252,71892099,3558847,NBS
chr01,Bn250,17892824,41154285,23261461,CN
chr01,Bn251,92318884,93183279,864395,RLP
chr01,Bn252,87405698,89690751,2285053,TNL
chr01,Bn253,84499956,95897925,11397969,NBS
chr01,Bn254,95678015,99439530,3761515,CNL
chr01,Bn255,69867990,78596738,8728748,RLP
chr01,Bn256,82794704,85515917,2721213,RLP
chr01,Bn257,20416457,82043079,61626622,RLK
chr01,Bn258,72448412,80901172,8452760,TNL
chr01,Bn259,63221292,99992365,36771073,RLK
chr01,Bn260,2140772,54570083,52429311,CNL
chr01,Bn261,41654013,79623830,37969817,TNL
chr01,Bn262,74080132,99667182,25587050,TNL
chr01,Bn263,63940518,97968325,34027807,RLK
chr01,Bn264,12326978,20650456,8323478,RLP
chr01,Bn265,71695723,75156204,3460481,RLK
chr01,Bn266,30374035,56869164,26495129,TN
chr01,Bn267,42306685,95710051,53403366,TNL
chr01,Bn268,54511055,96316106,41805051,TNL
chr01,Bn269,11528324,99009880,87481556,CN
chr01,Bn270,44230876,74632295,30401419,CNL
chr01,Bn271,2708175,83919340,81211165,NBS
chr01,Bn272,46659082,70051621,23392539,TNL
chr01,Bn273,55599590,57270650,1671060,NBS
chr01,Bn274,44086999,52857687,8770688,TN
chr01,Bn275,31551847,93597980,62046133,TNL
chr01,Bn276,18965784,70365220,51399436,RLP
