Gene,Chromosome,Start,End
Bn1,A06,3849791,4946965
Bn2,A07,3409077,4044793
Bn3,A03,2663000,2902296
Bn4,A02,2000408,4434084
Bn5,A08,2332580,4214941
Bn6,A05,2931352,3685386
Bn7,A02,4885189,4966860
Bn8,A02,1217454,4778470
Bn9,A07,2017536,3697990
Bn10,A02,1419557,3204740
Bn11,A02,1816797,2131846
Bn12,A01,3104337,3422684
Bn13,A04,1553340,2807249
Bn14,A08,2237502,3118190
Bn15,A10,4202817,4212434
Bn16,A05,3626981,3997436
Bn17,A06,3760225,3810119
Bn18,A07,2527787,2567739
Bn19,A10,2670443,3726891
Bn20,A04,3027123,4155543
Bn21,A10,1804951,4038719
Bn22,A05,2399561,2770644
Bn23,A09,3535479,4317027
Bn24,A04,4091044,4806746
Bn25,A10,4117994,4676867
Bn26,A04,4003599,4998036
Bn27,A02,3020166,3661917
Bn28,A05,4860338,4905224
Bn29,A06,2436599,4595893
Bn30,A01,3464973,4876442
Bn31,A07,4744749,4876944
Bn32,A10,2300653,2524601
Bn33,A02,3866493,4941143
Bn34,A05,2724088,2920938
Bn35,A07,2501483,4893428
Bn36,A07,4712922,4999196
Bn37,A09,4905178,4914660
Bn38,A04,3766187,4238995
Bn39,A09,2505149,3360612
Bn40,A04,4252918,4390622
Bn41,A06,3648121,3802061
Bn42,A05,3934136,4891716
Bn43,A10,1512761,2011938
Bn44,A05,1392228,1733618
Bn45,A03,3153619,4405027
Bn46,A02,1156548,2718171
Bn47,A07,3899983,4170758
Bn48,A07,4958850,4965745
Bn49,A01,3191917,4213960
Bn50,A09,2844619,3018627
Bn51,A07,1542006,4450455
Bn52,A09,2302138,4933356
Bn53,A01,4464393,4515270
Bn54,A10,4034831,4434119
Bn55,A05,3381223,4558152
Bn56,A01,1240717,2120311
Bn57,A07,1598607,3559149
Bn58,A05,2638582,4821767
Bn59,A06,3052155,4421328
Bn60,A01,2559448,3484740
Bn61,A05,1464191,2711614
Bn62,A05,4256155,4753348
Bn63,A08,2971040,3510551
Bn64,A10,1606419,4752821
Bn65,A04,3644388,4107334
Bn66,A04,1650411,1916750
Bn67,A03,1541054,3705762
Bn68,A09,1504255,2181952
Bn69,A06,4487026,4806577
Bn70,A10,3237039,4172342
Bn71,A09,3178334,4994910
Bn72,A01,1447923,4183233
Bn73,A04,3477974,4992313
Bn74,A05,1486025,2533807
Bn75,A02,2973664,3862369
Bn76,A02,4548280,4749328
Bn77,A08,4345364,4405570
Bn78,A09,3428610,4167532
Bn79,A05,2424387,2935937
Bn80,A07,3603450,4522763
Bn81,A08,2263411,2287660
Bn82,A01,2817934,4167778
Bn83,A08,2734766,2855346
Bn84,A07,4380946,4902170
Bn85,A07,1033879,3229280
Bn86,A07,1700052,2047839
Bn87,A05,2905321,4913453
Bn88,A01,1525105,1920189
Bn89,A09,3439066,3624623
Bn90,A05,1315284,4188836
Bn91,A03,1461771,3332715
Bn92,A02,1562209,1721464
Bn93,A10,3274423,4184959
Bn94,A02,1188796,3468403
Bn95,A06,2836096,4164303
Bn96,A04,4809899,4830723
Bn97,A02,4199954,4283157
Bn98,A01,2067211,4771134
Bn99,A06,1083988,1582123
Bn100,A06,4016300,4233168
Bn101,A10,1598300,3332304
Bn102,A10,1727189,2693156
Bn103,A03,2770705,3169462
Bn104,A02,3363089,4601042
Bn105,A04,1634569,3604654
Bn106,A03,1906647,4480409
Bn107,A06,3830466,4847635
Bn108,A10,1935007,3570070
Bn109,A08,2194390,4982011
Bn110,A02,2650794,3710410
Bn111,A07,2037332,2678646
Bn112,A03,2578219,2839090
Bn113,A07,4276668,4716186
Bn114,A03,1901109,2919605
Bn115,A05,2631817,4804207
Bn116,A08,3544084,4255161
Bn117,A04,4518594,4781878
Bn118,A04,4969625,4980752
Bn119,A08,4895341,4923124
Bn120,A06,3482951,4220770
Bn121,A08,4914571,4934677
Bn122,A09,2525971,2566779
Bn123,A07,1912527,4781143
Bn124,A02,1799848,2378183
Bn125,A02,1099940,1797207
Bn126,A05,3403866,4970892
Bn127,A04,4996065,4999677
Bn128,A02,3934906,4375146
Bn129,A07,4378433,4856333
Bn130,A08,2992318,4740448
Bn131,A10,4741878,4784988
Bn132,A10,2569428,3365243
Bn133,A09,1612461,2909544
Bn134,A07,1827713,4867005
Bn135,A03,3288079,4631430
Bn136,A08,3360203,4403224
Bn137,A03,4802059,4826029
Bn138,A02,1892170,2418578
Bn139,A02,2093914,4279164
Bn140,A08,1959236,4933704
Bn141,A06,1211243,3480625
Bn142,A10,1805520,1815013
Bn143,A08,2428539,3705152
Bn144,A05,3045129,4005771
Bn145,A02,3663905,4980573
Bn146,A07,4618573,4809580
Bn147,A02,1307798,4693515
Bn148,A07,1366544,2332997
Bn149,A03,2709282,2841511
Bn150,A04,3706291,3708235
Bn151,A06,4153656,4547000
Bn152,A02,2364860,2691119
Bn153,A03,3953182,4530034
Bn154,A02,2361440,3600251
Bn155,A08,3191610,4771285
Bn156,A07,4046180,4609692
Bn157,A04,2396505,3491547
Bn158,A01,2291577,2844447
Bn159,A04,1422976,1593432
Bn160,A10,2026929,4636836
Bn161,A01,1490800,4041524
Bn162,A04,3115353,3568568
Bn163,A06,2721138,4811571
Bn164,A04,1677727,2516494
Bn165,A08,1684325,4649735
Bn166,A03,1165399,4379798
Bn167,A10,1290153,4441803
Bn168,A07,1726537,1856847
Bn169,A03,4582830,4934248
Bn170,A01,1770352,4640812
Bn171,A08,2539607,3997645
Bn172,A07,2258442,4226994
Bn173,A07,3542488,4896353
Bn174,A02,4867560,4988449
Bn175,A01,2102590,2649465
Bn176,A05,3794815,4427658
Bn177,A09,1884619,4218410
Bn178,A09,1359340,2419698
Bn179,A08,1527181,2290143
Bn180,A07,2878124,3201174
Bn181,A09,1224490,3840359
Bn182,A04,4489768,4603510
Bn183,A10,1936812,3571719
Bn184,A08,1203270,4453208
Bn185,A03,4037183,4760360
Bn186,A09,2737324,4547481
Bn187,A05,2679339,2907601
Bn188,A09,1891222,3955650
Bn189,A07,2367173,2907667
Bn190,A06,4700772,4814006
Bn191,A03,1344052,3856450
Bn192,A02,3160023,3168134
Bn193,A06,2243206,3076954
Bn194,A08,3129428,3662983
Bn195,A02,4035603,4297695
Bn196,A01,3580942,3780535
Bn197,A04,1161876,1687601
Bn198,A07,3509239,4256861
Bn199,A10,4793513,4830190
Bn200,A04,4261285,4856340
Bn201,A02,2418074,2418714
Bn202,A03,3916368,4421633
Bn203,A04,2309760,4790723
Bn204,A01,3351681,4012309
Bn205,A04,3132755,4240990
Bn206,A10,1248186,4245045
Bn207,A08,3443398,3532773
Bn208,A05,1790572,2221482
Bn209,A09,4231263,4971705
Bn210,A04,2748587,3288006
Bn211,A06,3201927,3393978
Bn212,A05,2963933,4545902
Bn213,A01,1762574,3025890
Bn214,A06,3277696,3435903
Bn215,A08,4615333,4617553
Bn216,A02,2269774,4690273
Bn217,A06,1775276,4743527
Bn218,A07,3386101,4862994
Bn219,A08,3852824,4564665
Bn220,A03,1508244,3208602
Bn221,A08,2538867,3118295
Bn222,A04,3500604,4090803
Bn223,A10,4571923,4793005
Bn224,A05,3058662,4374572
Bn225,A06,3531969,4499573
Bn226,A09,4851404,4939621
Bn227,A02,2143639,3098646
Bn228,A01,4523699,4708451
Bn229,A01,3876415,4669942
Bn230,A02,1375711,3088935
Bn231,A07,1935413,3554945
Bn232,A01,1141717,4505975
Bn233,A02,2550339,3292007
Bn234,A03,4050382,4256044
Bn235,A04,3610331,4094960
Bn236,A07,1145118,4312026
Bn237,A06,2755279,4187992
Bn238,A02,2244493,3607371
Bn239,A04,3358500,4170413
Bn240,A08,3692667,4553927
Bn241,A01,2870266,2913621
Bn242,A04,1862442,3969578
Bn243,A05,2536136,3953306
Bn244,A06,4505734,4738139
Bn245,A01,3079547,4280438
Bn246,A01,2540057,3375716
Bn247,A02,3975968,4534114
Bn248,A05,3898800,4112277
Bn249,A09,1568520,1815363
Bn250,A07,2804172,4171256
Bn251,A09,1848153,2541991
Bn252,A07,1098009,4673857
Bn253,A04,4540514,4958886
Bn254,A09,1354976,2040540
Bn255,A05,3392029,3622427
Bn256,A10,1957105,4154109
Bn257,A04,3658246,4044257
Bn258,A03,1511667,2763653
Bn259,A07,4218742,4504633
Bn260,A07,2066899,2701802
Bn261,A07,2083495,4060388
Bn262,A04,1458184,1646597
Bn263,A05,1732771,2767734
Bn264,A01,1693060,2565561
Bn265,A06,1058854,1227197
Bn266,A04,1079667,1288149
Bn267,A10,3704466,4892322
Bn268,A06,3477753,3990677
Bn269,A10,2725856,3928940
Bn270,A08,4121997,4400107
Bn271,A04,3411918,3981180
Bn272,A02,2713183,4590542
Bn273,A09,1170624,1437381
Bn274,A03,3804086,4145777
Bn275,A02,4379094,4479220
Bn276,A07,2017283,3411794
Bn277,A10,1592951,4105408
